Xline,Inline,Z,Theta,Alfa,Beta,Length,Name
0.000000,11000.000000,668.825110,0.000000,0.000000,0.000000,0.000000,04Rx241a
0.000000,12000.000000,682.782141,0.000000,0.000000,0.000000,0.000000,04Rx242a
0.000000,13000.000000,700.510840,0.000000,0.000000,0.000000,0.000000,04Rx243a
0.000000,14000.000000,718.508887,0.000000,0.000000,0.000000,0.000000,04Rx244a
0.000000,15000.000000,734.227515,0.000000,0.000000,0.000000,0.000000,04Rx245a
0.000000,16000.000000,755.230444,0.000000,0.000000,0.000000,0.000000,04Rx246a
0.000000,17000.000000,772.365332,0.000000,0.000000,0.000000,0.000000,04Rx247a
0.000000,18000.000000,790.602515,0.000000,0.000000,0.000000,0.000000,04Rx248a
0.000000,19000.000000,810.806738,0.000000,0.000000,0.000000,0.000000,04Rx249a
0.000000,20000.000000,831.540625,0.000000,0.000000,0.000000,0.000000,04Rx250a
0.000000,21000.000000,850.375952,0.000000,0.000000,0.000000,0.000000,04Rx251a
0.000000,22000.000000,871.116858,0.000000,0.000000,0.000000,0.000000,04Rx252a
0.000000,23000.000000,892.685095,0.000000,0.000000,0.000000,0.000000,04Rx253a
0.000000,24000.000000,910.446143,0.000000,0.000000,0.000000,0.000000,04Rx254a
0.000000,25000.000000,930.343604,0.000000,0.000000,0.000000,0.000000,04Rx255a
0.000000,26000.000000,950.453894,0.000000,0.000000,0.000000,0.000000,04Rx256a
0.000000,27000.000000,971.259558,0.000000,0.000000,0.000000,0.000000,04Rx257a
0.000000,28000.000000,990.208777,0.000000,0.000000,0.000000,0.000000,04Rx258a
0.000000,29000.000000,1009.521765,0.000000,0.000000,0.000000,0.000000,04Rx259a
0.000000,30000.000000,1032.416602,0.000000,0.000000,0.000000,0.000000,04Rx260a

